x,y
100,7.472750000000002
200,8.851920000000005
300,9.632496666666677
400,10.152005000000004
500,10.616747999999989
600,11.003668333333337
700,11.261261428571451
800,11.565408750000012
900,11.771977777777776
1000,11.982930000000003
1100,12.174326363636363
1200,12.376408333333329
1300,12.506976153846153
1400,12.639056182477274
1500,12.76112266666666
1600,12.903076250000007
1700,13.037271764705869
1800,13.127369999999976
1900,13.242728396663072
2000,13.38998650000002
2100,13.453382857142866
2200,13.527634834842269
2300,13.588358333869172
2400,13.717149069403924
2500,13.806913999999999
2600,13.915087307692303
2700,13.95782648100119
2800,14.0418867857143
2900,14.126861086819474
3000,14.176979692564176
3100,14.256117096774192
3200,14.262679357904823
3300,14.387284192363152
3400,14.415819299274878
3500,14.488545524353913
3600,14.554925530239892
3700,14.58989301147864
3800,14.651805445685149
3900,14.723694806031805
4000,14.744921733745924
4100,14.796146064715389
4200,14.860994355458768
4300,14.865595778953463
4400,14.969834685724033
4500,14.989956952409173
4600,15.080250544258194
4700,15.058504812431783
4800,15.103054988712923
4900,15.19424099874609
5000,15.19534253118624
5100,15.255359702748313
5200,15.275258086799237
5300,15.323276986971571
5400,15.358065435334373
5500,15.40126974567276
5600,15.426930198744214
5700,15.440418944844138
5800,15.449384488199518
5900,15.521294865461256
6000,15.583453378396387
6100,15.576858095307193
6200,15.60645442844579
6300,15.631876890990496
6400,15.733881725269592
6500,15.742488631008301
6600,15.759456798711465
6700,15.769962070525116
6800,15.807112526214912
6900,15.833972887459034
7000,15.857038923989155
7100,15.883074695225865
7200,15.91306624741473
7300,15.942088662549017
7400,15.985273101240876
7500,16.03975233033737
7600,16.039161824287827
7700,16.03456493710604
7800,16.0497027249713
7900,16.12705529543075
8000,16.166310482560323
8100,16.13255080285786
8200,16.1759213722673
8300,16.179721479347922
8400,16.23018379366307
8500,16.229666686433717
8600,16.285059543538036
8700,16.28429752813442
8800,16.32812224809895
8900,16.347643325547267
9000,16.384665603980682
9100,16.36259823623897
9200,16.403024145051216
9300,16.424401264270536
9400,16.477582383436012
9500,16.51718858692051
9600,16.468808695903668
9700,16.511730067049097
9800,16.54025426367955
9900,16.535364592832025
10000,16.55402403548356